Date,Crypto,Open,High,Low,Close,Volume
2018-07-14,Bitcoin,6247.5,6298.19,6212.22,6276.12,2923670016.0
2018-07-15,Bitcoin,6272.7,6403.46,6256.51,6359.64,3285459968.0
2018-07-16,Bitcoin,6357.01,6741.75,6357.01,6741.75,4725799936.0
2018-07-17,Bitcoin,6739.65,7387.24,6684.17,7321.04,5961950208.0
2018-07-18,Bitcoin,7315.32,7534.99,7280.47,7370.78,6103410176.0
2018-07-19,Bitcoin,7378.2,7494.46,7295.46,7466.86,5111629824.0
2018-07-20,Bitcoin,7467.4,7594.67,7323.26,7354.13,4936869888.0
2018-07-21,Bitcoin,7352.72,7437.64,7262.41,7419.29,3726609920.0
2018-07-22,Bitcoin,7417.8,7537.95,7383.82,7418.49,3695460096.0
2018-07-23,Bitcoin,7414.71,7771.5,7409.1,7711.11,5132480000.0
2018-07-24,Bitcoin,7716.51,8424.27,7705.5,8424.27,7277689856.0
2018-07-25,Bitcoin,8379.66,8416.87,8086.36,8181.39,5845400064.0
2018-07-26,Bitcoin,8176.85,8290.33,7878.71,7951.58,4899089920.0
2018-07-27,Bitcoin,7950.4,8262.66,7839.76,8165.01,5195879936.0
2018-07-28,Bitcoin,8169.06,8222.85,8110.77,8192.15,3988750080.0
2018-07-29,Bitcoin,8205.82,8272.26,8141.18,8218.46,4107190016.0
2018-07-30,Bitcoin,8221.58,8235.5,7917.5,8180.48,5551400000.0
2018-07-31,Bitcoin,8181.2,8181.53,7696.93,7780.44,5287530000.0
2018-08-01,Bitcoin,7769.04,7769.04,7504.95,7624.91,4797620000.0
2018-08-02,Bitcoin,7634.19,7712.77,7523.44,7567.15,4214110000.0
2018-08-03,Bitcoin,7562.14,7562.14,7328.65,7434.39,4627150000.0
2018-08-04,Bitcoin,7438.67,7497.49,6984.07,7032.85,4268390000.0
2018-08-05,Bitcoin,7031.08,7102.77,6940.7,7068.48,3679110000.0
2018-08-06,Bitcoin,7062.94,7166.55,6890.54,6951.8,3925900000.0
2018-08-07,Bitcoin,6958.32,7146.56,6748.24,6753.12,4682800000.0
2018-08-08,Bitcoin,6746.85,6746.85,6226.22,6305.8,5064430000.0
2018-08-09,Bitcoin,6305.56,6625.73,6249.07,6568.23,4267040000.0
2018-08-10,Bitcoin,6571.42,6591.26,6124.52,6184.71,4528680000.0
2018-08-11,Bitcoin,6185.79,6455.74,6109.03,6295.73,4047850000.0
2018-08-12,Bitcoin,6283.65,6409.85,6237.5,6322.69,5665250000.0
2018-08-13,Bitcoin,6341.36,6537.05,6225.72,6297.57,4083980000.0
2018-08-14,Bitcoin,6287.66,6287.94,5971.05,6199.71,5301700000.0
2018-08-15,Bitcoin,6221.42,6588.49,6221.42,6308.52,4895450000.0
2018-08-16,Bitcoin,6294.23,6473.5,6276.41,6334.73,4328420000.0
2018-08-17,Bitcoin,6340.91,6582.5,6324.97,6580.63,4992990000.0
2018-08-18,Bitcoin,6583.43,6617.35,6353.73,6423.76,3984520000.0
2018-08-19,Bitcoin,6422.57,6537.98,6361.55,6506.07,3311170000.0
2018-08-20,Bitcoin,6500.51,6536.92,6297.93,6308.53,3665100000.0
2018-08-21,Bitcoin,6301.07,6500.87,6298.24,6488.76,3377180000.0
2018-08-22,Bitcoin,6486.25,6816.79,6310.11,6376.71,4668110000.0
2018-08-23,Bitcoin,6371.34,6546.54,6371.34,6534.88,3426180000.0
2018-08-24,Bitcoin,6551.52,6719.96,6498.64,6719.96,4097820000.0
2018-08-25,Bitcoin,6719.95,6789.63,6700.96,6763.19,3312600000.0
2018-08-26,Bitcoin,6754.64,6774.75,6620.75,6707.26,3295500000.0
2018-08-27,Bitcoin,6710.8,6884.64,6689.71,6884.64,4019000000.0
2018-08-28,Bitcoin,6891.08,7109.56,6882.34,7096.28,4659940000.0
2018-08-29,Bitcoin,7091.71,7113.3,6970.82,7047.16,4145880000.0
2018-08-30,Bitcoin,7043.76,7072.69,6834.69,6978.23,4463250000.0
2018-08-31,Bitcoin,6973.97,7057.17,6920.16,7037.58,4495650000.0
2018-09-01,Bitcoin,7044.81,7242.29,7038.05,7193.25,4116050000.0
2018-09-02,Bitcoin,7189.58,7306.31,7132.16,7272.72,4329540000.0
2018-09-03,Bitcoin,7279.03,7317.94,7208.15,7260.06,4087760000.0
2018-09-04,Bitcoin,7263.0,7388.26,7255.44,7361.66,4273640000.0
2018-09-05,Bitcoin,7361.46,7388.43,6792.83,6792.83,5800460000.0
2018-09-06,Bitcoin,6755.14,6755.14,6404.72,6529.17,5523470000.0
2018-09-07,Bitcoin,6528.92,6555.29,6396.87,6467.07,4264680000.0
2018-09-08,Bitcoin,6460.17,6534.25,6197.52,6225.98,3835060000.0
2018-09-09,Bitcoin,6223.38,6446.26,6201.22,6300.86,3671890000.0
2018-09-10,Bitcoin,6301.57,6374.98,6292.76,6329.7,3714100000.0
2018-09-11,Bitcoin,6331.88,6398.92,6260.21,6321.2,3849910000.0
2018-09-12,Bitcoin,6317.01,6363.87,6265.09,6351.8,4064230000.0
2018-09-13,Bitcoin,6354.24,6535.41,6354.24,6517.31,4210910000.0
2018-09-14,Bitcoin,6515.41,6596.1,6456.17,6512.71,4076220000.0
2018-09-15,Bitcoin,6509.4,6561.72,6493.55,6543.2,3216300000.0
2018-09-16,Bitcoin,6536.68,6544.33,6460.1,6517.18,3273730000.0
2018-09-17,Bitcoin,6514.06,6540.21,6257.52,6281.2,3910780000.0
2018-09-18,Bitcoin,6280.91,6384.18,6265.71,6371.3,4180090000.0
2018-09-19,Bitcoin,6371.85,6448.46,6208.34,6398.54,4431340000.0
2018-09-20,Bitcoin,6398.85,6529.26,6395.95,6519.67,4348110000.0
2018-09-21,Bitcoin,6513.87,6794.33,6496.36,6734.95,6531940000.0
2018-09-22,Bitcoin,6735.05,6814.56,6616.8,6721.98,4509660000.0
2018-09-23,Bitcoin,6715.32,6766.15,6679.42,6710.63,4197500000.0
2018-09-24,Bitcoin,6704.77,6713.56,6580.9,6595.41,4177310000.0
2018-09-25,Bitcoin,6603.64,6603.64,6381.86,6446.47,4726180000.0
2018-09-26,Bitcoin,6452.79,6585.91,6397.89,6495.0,4437300000.0
2018-09-27,Bitcoin,6495.29,6712.1,6464.95,6676.75,4606810000.0
2018-09-28,Bitcoin,6678.75,6785.03,6598.32,6644.13,5014430000.0
2018-09-29,Bitcoin,6643.1,6643.1,6511.65,6601.96,4363690000.0
2018-09-30,Bitcoin,6604.71,6643.78,6566.54,6625.56,4002280000.0
2018-10-01,Bitcoin,6619.85,6653.3,6549.08,6589.62,4000970000.0
2018-10-02,Bitcoin,6593.24,6611.84,6537.9,6556.1,3979260000.0
2018-10-03,Bitcoin,6553.86,6571.46,6454.03,6502.59,3887310000.0
2018-10-04,Bitcoin,6497.91,6603.31,6497.91,6576.69,3838410000.0
2018-10-05,Bitcoin,6574.15,6623.62,6557.41,6622.48,3671500000.0
2018-10-06,Bitcoin,6622.45,6628.54,6577.8,6588.31,3259740000.0
2018-10-07,Bitcoin,6590.68,6641.49,6557.04,6602.95,3306630000.0
2018-10-08,Bitcoin,6600.19,6675.06,6576.04,6652.23,3979460000.0
2018-10-09,Bitcoin,6653.08,6661.41,6606.94,6642.64,3580810000.0
2018-10-10,Bitcoin,6640.29,6640.29,6538.96,6585.53,3787650000.0
2018-10-11,Bitcoin,6586.74,6586.74,6243.74,6256.24,5181640000.0
2018-10-12,Bitcoin,6239.25,6328.5,6236.47,6274.58,3783500000.0
2018-10-13,Bitcoin,6278.08,6308.51,6259.81,6285.99,3064030000.0
2018-10-14,Bitcoin,6288.49,6363.21,6280.15,6290.93,3085320000.0
2018-10-15,Bitcoin,6292.64,6965.06,6258.68,6596.54,7370770000.0
2018-10-16,Bitcoin,6601.41,6673.59,6571.37,6596.11,4074800000.0
2018-10-17,Bitcoin,6590.52,6601.21,6517.45,6544.43,4088420000.0
2018-10-18,Bitcoin,6542.33,6567.54,6450.04,6476.71,3924080000.0
2018-10-19,Bitcoin,6478.07,6493.68,6445.31,6465.41,3578870000.0
2018-10-20,Bitcoin,6460.92,6497.72,6449.0,6489.19,3379130000.0
2018-10-21,Bitcoin,6490.09,6556.38,6476.0,6482.35,3253610000.0
2018-10-22,Bitcoin,6486.05,6543.8,6462.98,6487.16,3672860000.0
2018-10-23,Bitcoin,6472.36,6506.01,6451.27,6475.74,3716150000.0
2018-10-24,Bitcoin,6478.89,6521.99,6468.86,6495.84,3424670000.0
2018-10-25,Bitcoin,6484.65,6504.65,6447.03,6476.29,3230550000.0
2018-10-26,Bitcoin,6468.44,6498.29,6449.61,6474.75,3306050000.0
2018-10-27,Bitcoin,6480.84,6507.41,6453.53,6480.38,3393250000.0
2018-10-28,Bitcoin,6482.66,6502.28,6447.91,6486.39,3445190000.0
2018-10-29,Bitcoin,6492.35,6503.6,6306.99,6332.63,4199910000.0
2018-10-30,Bitcoin,6337.04,6364.99,6310.14,6334.27,3781100000.0
2018-10-31,Bitcoin,6336.99,6349.16,6316.88,6317.61,4191240000.0
2018-11-01,Bitcoin,6318.14,6547.14,6311.83,6377.78,3789400000.0
2018-11-02,Bitcoin,6378.92,6396.86,6327.38,6388.44,4234870000.0
2018-11-03,Bitcoin,6387.24,6400.07,6342.37,6361.26,3658640000.0
2018-11-04,Bitcoin,6365.47,6388.63,6294.57,6376.13,4390020000.0
2018-11-05,Bitcoin,6363.62,6480.59,6363.62,6419.66,4174800000.0
2018-11-06,Bitcoin,6433.38,6463.55,6408.16,6461.01,4700040000.0
2018-11-07,Bitcoin,6468.5,6552.16,6468.31,6530.14,4941260000.0
2018-11-08,Bitcoin,6522.27,6536.92,6438.53,6453.72,4665260000.0
2018-11-09,Bitcoin,6442.6,6456.46,6373.37,6385.62,4346820000.0
2018-11-10,Bitcoin,6386.13,6437.28,6385.31,6409.22,3705320000.0
2018-11-11,Bitcoin,6413.63,6423.25,6350.17,6411.27,3939060000.0
2018-11-12,Bitcoin,6411.76,6434.21,6360.47,6371.27,4295770000.0
2018-11-13,Bitcoin,6373.19,6395.27,6342.67,6359.49,4503800000.0
2018-11-14,Bitcoin,6351.24,6371.55,5544.09,5738.35,7398940000.0
2018-11-15,Bitcoin,5736.15,5774.82,5358.38,5648.03,7032140000.0
2018-11-16,Bitcoin,5645.32,5657.02,5498.94,5575.55,5279320000.0
2018-11-17,Bitcoin,5578.58,5578.58,5519.56,5554.33,4303150000.0
2018-11-18,Bitcoin,5559.74,5653.61,5559.74,5623.54,4159680000.0
2018-11-19,Bitcoin,5620.78,5620.78,4842.91,4871.49,7039560000.0
2018-11-20,Bitcoin,4863.93,4951.61,4272.11,4451.87,8428290000.0
2018-11-21,Bitcoin,4465.54,4675.73,4343.98,4602.17,6120120000.0
2018-11-22,Bitcoin,4611.57,4629.64,4365.64,4365.94,4569370000.0
2018-11-23,Bitcoin,4360.7,4396.42,4195.68,4347.11,4871490000.0
2018-11-24,Bitcoin,4347.69,4413.09,3795.16,3880.76,4679500000.0
2018-11-25,Bitcoin,3880.78,4120.87,3585.06,4009.97,6825640000.0
2018-11-26,Bitcoin,4015.07,4107.14,3643.92,3779.13,6476900000.0
2018-11-27,Bitcoin,3765.95,3862.96,3661.01,3820.72,5998720000.0
2018-11-28,Bitcoin,3822.47,4385.9,3822.47,4257.42,7280280000.0
2018-11-29,Bitcoin,4269.004,4413.021,4145.765,4278.847,6503347767.0
2018-11-30,Bitcoin,4289.089,4322.977,3942.822,4017.269,6048016717.0
2018-12-01,Bitcoin,4024.464,4309.377,3969.711,4214.672,5375314093.0
2018-12-02,Bitcoin,4200.733,4301.52,4110.979,4139.878,5262697895.0
2018-12-03,Bitcoin,4147.324,4155.979,3840.446,3894.131,5089570994.0
2018-12-04,Bitcoin,3886.295,4075.628,3832.75,3956.894,5028069239.0
2018-12-05,Bitcoin,3958.895,3969.536,3753.995,3753.995,5302481574.0
2018-12-06,Bitcoin,3754.074,3874.966,3521.102,3521.102,5878333109.0
2018-12-07,Bitcoin,3512.59,3512.59,3280.229,3419.937,6835615448.0
2018-12-08,Bitcoin,3421.91,3506.043,3350.651,3476.115,5305024497.0
